date, value
1993-01-04,0.748
1993-01-05,0.718
1993-01-06,0.703
1993-01-07,0.732
1993-01-08,0.703
1993-01-11,0.6925
1993-01-12,0.7155
1993-01-13,0.7335
1993-01-14,0.724
1993-01-15,0.6975
1993-01-18,0.6865
1993-01-19,0.656
1993-01-20,0.645
1993-01-21,0.6425
1993-01-22,0.628
1993-01-25,0.5605
1993-01-26,0.579
1993-01-27,0.5775
1993-01-28,0.583
1993-01-29,0.583
1993-02-01,0.6095
1993-02-02,0.6335
1993-02-03,0.631
1993-02-04,0.6195
1993-02-05,0.626
1993-02-08,0.5725
1993-02-09,0.593
1993-02-10,0.6155
1993-02-11,0.65
1993-02-12,0.643
1993-02-16,0.6425
1993-02-17,0.6235
1993-02-18,0.633
1993-02-19,0.6575
1993-02-22,0.671
1993-02-23,0.6429
1993-02-24,0.6629
1993-02-25,0.6545
1993-02-26,0.6408
1993-03-01,0.6295
1993-03-02,0.644
1993-03-03,0.6525
1993-03-04,0.6555
1993-03-05,0.6425
1993-03-08,0.633
1993-03-09,0.6375
1993-03-10,0.6235
1993-03-11,0.6215
1993-03-12,0.617
1993-03-15,0.6325
1993-03-16,0.6055
1993-03-17,0.607
1993-03-18,0.6055
1993-03-19,0.6125
1993-03-22,0.613
1993-03-23,0.615
1993-03-24,0.624
1993-03-25,0.617
1993-03-26,0.5855
1993-03-29,0.567
1993-03-30,0.567
1993-03-31,0.586
1993-04-01,0.578
1993-04-02,0.568
1993-04-05,0.553
1993-04-06,0.5575
1993-04-07,0.5445
1993-04-08,0.535
1993-04-12,0.5355
1993-04-13,0.545
1993-04-14,0.545
1993-04-15,0.5475
1993-04-16,0.537
1993-04-19,0.528
1993-04-20,0.5335
1993-04-21,0.5215
1993-04-22,0.53
1993-04-23,0.54
1993-04-26,0.5775
1993-04-27,0.6111
1993-04-28,0.605
1993-04-29,0.6179
1993-04-30,0.6406
1993-05-03,0.6415
1993-05-04,0.589
1993-05-05,0.5795
1993-05-06,0.591
1993-05-07,0.598
1993-05-10,0.601
1993-05-11,0.603
1993-05-12,0.588
1993-05-13,0.5815
1993-05-14,0.5915
1993-05-17,0.5985
1993-05-18,0.633
1993-05-19,0.6375
1993-05-20,0.6355
1993-05-21,0.654
1993-05-24,0.6145
1993-05-25,0.635
1993-05-26,0.6495
1993-05-27,0.6285
1993-05-28,0.6355
1993-06-01,0.6125
1993-06-02,0.616
1993-06-03,0.609
1993-06-04,0.5885
1993-06-07,0.5825
1993-06-08,0.5845
1993-06-09,0.5835
1993-06-10,0.5905
1993-06-11,0.5715
1993-06-14,0.5875
1993-06-15,0.613
1993-06-16,0.592
1993-06-17,0.617
1993-06-18,0.6145
1993-06-21,0.603
1993-06-22,0.6165
1993-06-23,0.623
1993-06-24,0.615
1993-06-25,0.6069
1993-06-28,0.6158
1993-06-29,0.6006
1993-06-30,0.6106
1993-07-01,0.6225
1993-07-02,0.647
1993-07-06,0.7165
1993-07-07,0.6975
1993-07-08,0.7035
1993-07-09,0.702
1993-07-12,0.6955
1993-07-13,0.736
1993-07-14,0.7125
1993-07-15,0.724
1993-07-16,0.7125
1993-07-19,0.7275
1993-07-20,0.723
1993-07-21,0.717
1993-07-22,0.729
1993-07-23,0.7245
1993-07-26,0.7145
1993-07-27,0.7275
1993-07-28,0.7345
1993-07-29,0.741
1993-07-30,0.7655
1993-08-02,0.774
1993-08-03,0.7925
