date,value
10/23/02,1326
10/25/02,1338
10/28/02,1348
10/29/02,1333
10/30/02,1336
10/31/02,1348
11/1/02,1352
11/4/02,1373
11/5/02,1366
11/6/02,1374
11/7/02,1382
11/8/02,1376
11/11/02,1378
11/12/02,1391
11/13/02,1382
11/14/02,1376
11/20/02,1382
11/21/02,1393
11/22/02,1385
11/25/02,1386
11/26/02,1367
11/27/02,1385
11/28/02,1387
11/29/02,1389
12/5/02,1372
12/10/02,1375
12/13/02,1394
12/16/02,1390
12/17/02,1383
12/18/02,1378
12/19/02,1370
12/20/02,1372
12/24/02,1374
12/27/02,1369
12/30/02,1365
1/2/03,1334
1/3/03,1350
1/6/03,1343
1/7/03,1345
1/9/03,1358
1/13/03,1350
1/14/03,1356
1/15/03,1365
1/16/03,1385
1/17/03,1371
1/20/03,1383
1/21/03,1379
1/22/03,1401
1/23/03,1404
1/24/03,1414
1/27/03,1410
1/29/03,1424
1/30/03,1432
1/31/03,1416
2/3/03,1422
2/4/03,1412
2/5/03,1410
2/6/03,1406
2/7/03,1394
2/10/03,1419
2/11/03,1426
2/12/03,1410
2/13/03,1401
2/14/03,1376
2/18/03,1385
2/19/03,1381
2/20/03,1388
2/21/03,1405
2/24/03,1415
2/25/03,1417
2/26/03,1432
2/27/03,1437
2/28/03,1417
3/4/03,1410
3/5/03,1403
3/6/03,1390
3/7/03,1395
3/11/03,1411
3/12/03,1403
3/13/03,1405
3/14/03,1391
3/18/03,1380
3/19/03,1391
3/20/03,1391
3/21/03,1390
3/24/03,1380
3/25/03,1381
3/26/03,1381
3/27/03,1345
3/28/03,1345
3/31/03,1342
4/1/03,1346
4/2/03,1336
4/3/03,1328
4/8/03,1333
4/9/03,1331
4/10/03,1325
4/14/03,1336
4/15/03,1344
4/16/03,1357
4/17/03,1371
4/22/03,1366
4/23/03,1358
4/24/03,1363
4/29/03,1356
4/30/03,1365
5/2/03,1361
5/6/03,1375
5/7/03,1392
5/8/03,1400
5/9/03,1398
5/12/03,1405
5/13/03,1404
5/14/03,1400
5/15/03,1411
5/16/03,1406
5/20/03,1408
5/21/03,1412
5/22/03,1408
5/23/03,1406
5/27/03,1405
5/28/03,1402
5/29/03,1405
5/30/03,1405
6/2/03,1419
6/3/03,1428
6/4/03,1423
6/6/03,1415
6/10/03,1383
6/11/03,1387
6/12/03,1367
6/13/03,1375
6/16/03,1369
6/17/03,1374
6/19/03,1400
6/20/03,1388
6/23/03,1371
6/24/03,1369
6/25/03,1377
6/30/03,1357
7/1/03,1361
7/2/03,1371
7/3/03,1378
7/7/03,1390
7/8/03,1396
7/9/03,1407
7/10/03,1412
7/11/03,1408
7/18/03,1405
7/22/03,1393
7/23/03,1402
7/24/03,1445
7/25/03,1437
7/28/03,1436
7/29/03,1443
7/30/03,1451
7/31/03,1461
8/1/03,1463
8/4/03,1438
8/5/03,1434
8/6/03,1430
8/7/03,1429
8/8/03,1423
8/11/03,1412
8/12/03,1420
8/13/03,1421
8/15/03,1425
8/20/03,1440
8/21/03,1430
8/22/03,1433
8/26/03,1441
8/27/03,1422
8/28/03,1410
8/29/03,1423
9/3/03,1448
9/4/03,1452
9/5/03,1436
9/9/03,1428
9/10/03,1384
9/11/03,1389
9/12/03,1420
9/17/03,1412
9/18/03,1417
9/19/03,1424
9/22/03,1440
9/23/03,1428
9/24/03,1439
9/25/03,1438
9/26/03,1429
9/29/03,1422
9/30/03,1419
10/1/03,1422
10/2/03,1430
10/8/03,1463
10/9/03,1486
10/10/03,1484
10/13/03,1491
10/14/03,1486
10/15/03,1486
10/16/03,1506
10/17/03,1506
10/20/03,1518
10/21/03,1504
10/23/03,1486
10/24/03,1483
10/28/03,1494
10/29/03,1495
