Close,Date
2406.84,2023-02-16
2389.19,2023-02-15
2417.45,2023-02-14
2412.35,2023-02-13
2440.35,2023-02-10
2496.55,2023-02-09
2484.07,2023-02-08
2507.15,2023-02-07
2534.24,2023-02-06
2587.13,2023-02-03
2610.26,2023-02-02
2608.15,2023-02-01
2573.6,2023-01-31
2561,2023-01-30
2627.54,2023-01-27
2638.85,2023-01-26
2653.2,2023-01-25
2651.32,2023-01-24
2635.15,2023-01-23
2610.65,2023-01-20
2587.5,2023-01-19
2615,2023-01-18
2615.98,2023-01-17
2625.73,2023-01-16
2595,2023-01-13
2542.12,2023-01-12
2495.6,2023-01-11
2463.3,2023-01-10
2421.65,2023-01-09
2307.32,2023-01-06
2258.35,2023-01-05
2266.5,2023-01-04
2318.5,2023-01-03
2377.85,2022-12-30
2404.85,2022-12-29
2381.1,2022-12-28
2394.5,2022-12-23
2406.2,2022-12-22
2398.56,2022-12-21
2389.73,2022-12-20
2375.14,2022-12-19
2392.97,2022-12-16
2403.63,2022-12-15
2446.59,2022-12-14
2460.85,2022-12-13
2413.8,2022-12-12
2473.85,2022-12-09
2498.85,2022-12-08
2494.35,2022-12-07
2508.5,2022-12-06
2522.35,2022-12-05
2474.85,2022-12-02
2485.68,2022-12-01
2485,2022-11-30
2379.65,2022-11-29
2362.65,2022-11-28
2362.35,2022-11-25
2367.35,2022-11-24
2392.15,2022-11-23
2427.34,2022-11-22
2361.8,2022-11-21
2394.71,2022-11-18
2382.32,2022-11-17
2409.78,2022-11-16
2435,2022-11-15
2434.48,2022-11-14
2463.65,2022-11-11
2322.97,2022-11-10
2318.85,2022-11-09
2356.15,2022-11-08
2323.33,2022-11-07
2350.53,2022-11-04
2264.15,2022-11-03
2256.39,2022-11-02
2247.15,2022-11-01
2211.1,2022-10-31
2220.23,2022-10-28
2287.35,2022-10-27
2329.75,2022-10-26
2218.77,2022-10-25
2181.25,2022-10-24
2215.21,2022-10-21
2209.7,2022-10-20
2170.5,2022-10-19
2183,2022-10-18
2227.35,2022-10-17
2327.57,2022-10-14
2364.85,2022-10-13
2204.69,2022-10-12
2236,2022-10-11
2260,2022-10-10
2330.43,2022-10-07
2362.65,2022-10-06
2298.15,2022-10-05
2349.79,2022-10-04
2224.35,2022-10-03
2149.85,2022-09-30
2197,2022-09-29
2115.53,2022-09-28
2111.32,2022-09-27
2139.35,2022-09-26
2165.15,2022-09-23
2231.04,2022-09-22
2215.91,2022-09-21
2245.5,2022-09-20
2249.34,2022-09-19
2276.85,2022-09-16
2310.38,2022-09-15
2270.35,2022-09-14
2313,2022-09-13
2290.28,2022-09-12
2290.25,2022-09-09
2267.35,2022-09-08
2244.52,2022-09-07
2259.82,2022-09-06
2289.15,2022-09-05
2295.65,2022-09-02
2300.72,2022-09-01
2370.85,2022-08-31
2395.11,2022-08-30
2493.65,2022-08-26
2433.65,2022-08-25
2430,2022-08-24
2427.65,2022-08-23
2387.25,2022-08-22
2386.2,2022-08-19
2404.65,2022-08-18
2411,2022-08-17
2392,2022-08-16
2384,2022-08-15
2487.09,2022-08-12
2511.6,2022-08-11
2489.65,2022-08-10
2492.59,2022-08-09
2445.65,2022-08-08
2418.65,2022-08-05
2402.8,2022-08-04
2377.85,2022-08-03
2414.3,2022-08-02
2448.84,2022-08-01
2460.85,2022-07-29
2471.6,2022-07-28
2420.95,2022-07-27
2423.65,2022-07-26
2409.15,2022-07-25
2475.7,2022-07-22
2428.77,2022-07-21
2447,2022-07-20
2385.5,2022-07-19
2431.15,2022-07-18
2339.43,2022-07-15
2340.99,2022-07-14
2369.31,2022-07-13
2359.85,2022-07-12
2381.38,2022-07-11
2436.65,2022-07-08
2442.7,2022-07-07
2388.07,2022-07-06
2392,2022-07-05
2463.85,2022-07-04
2397.69,2022-07-01
2431.33,2022-06-30
2470.85,2022-06-29
2490.85,2022-06-28
2474.77,2022-06-27
2455.85,2022-06-24
2477.35,2022-06-23
2479.5,2022-06-22
2533.65,2022-06-21
2527,2022-06-20
2497.85,2022-06-17
2504.5,2022-06-16
2583.98,2022-06-15
2566.8,2022-06-14
2638.37,2022-06-13
2685.69,2022-06-10
2760.85,2022-06-09
2802.69,2022-06-08
2751.79,2022-06-07
2782.65,2022-06-06
2726.15,2022-06-01
2787,2022-05-31
2904.85,2022-05-30
2871.35,2022-05-27
2862.58,2022-05-26
2871.86,2022-05-25
2878.51,2022-05-24
2973.21,2022-05-23
2977.78,2022-05-20
2861.85,2022-05-19
2878.16,2022-05-18
2890.65,2022-05-17
2831.8,2022-05-16
2833.36,2022-05-13
2790.13,2022-05-12
2777.57,2022-05-11
2753.65,2022-05-10
2753.33,2022-05-09
2841.85,2022-05-06
2903.35,2022-05-05
2952.28,2022-05-04
2911,2022-05-03
3048.9,2022-04-29
3039.69,2022-04-28
3104.44,2022-04-27
3079.35,2022-04-26
3094.6,2022-04-25
3246.05,2022-04-22
3298.15,2022-04-21
3264.25,2022-04-20
3263.94,2022-04-19
3293.25,2022-04-14
3233.26,2022-04-13
3243.27,2022-04-12
3247.85,2022-04-11
3376.85,2022-04-08
3384.85,2022-04-07
3464.68,2022-04-06
3464.8,2022-04-05
3468.05,2022-04-04
3442.37,2022-04-01
3490.85,2022-03-31
3551,2022-03-30
3441.15,2022-03-29
3615.1,2022-03-28
3613.84,2022-03-25
3590.93,2022-03-24
3683.79,2022-03-23
3504.5,2022-03-22
3521,2022-03-21
3398.63,2022-03-18
3384.5,2022-03-17
3271.75,2022-03-16
3277.5,2022-03-15
3330.15,2022-03-14
3489.28,2022-03-11
3427.5,2022-03-10
3311.4,2022-03-09
3502.94,2022-03-08
3740.15,2022-03-07
3849,2022-03-04
3732.3,2022-03-03
3530.07,2022-03-02
3462.37,2022-03-01
3378.8,2022-02-28
3371.98,2022-02-25
3397.23,2022-02-24
3298.97,2022-02-23
3303,2022-02-22
3280.6,2022-02-21
3253.6,2022-02-18
3268.15,2022-02-17
3255.8,2022-02-16
3189.65,2022-02-15
3202.85,2022-02-14
3136.65,2022-02-11
3237.4,2022-02-10
3265.8,2022-02-09
3182.8,2022-02-08
3119.55,2022-02-07
3074.1,2022-02-04
3027,2022-02-03
2986,2022-02-02
3045.32,2022-02-01
3028.65,2022-01-31
3082.35,2022-01-28
3095.99,2022-01-27
3093.85,2022-01-26
3082.38,2022-01-25
3028.5,2022-01-24
3034.05,2022-01-21
3115.94,2022-01-20
3051.15,2022-01-19
3025.85,2022-01-18
2995.92,2022-01-17
2964.17,2022-01-14
2952.15,2022-01-13
2982.5,2022-01-12
2970,2022-01-11
2942.66,2022-01-10
2917.23,2022-01-07
2926.91,2022-01-06
2916.85,2022-01-05
2837.86,2022-01-04
2818.45,2021-12-31
2818.15,2021-12-30
2820.45,2021-12-29
2836.85,2021-12-24
2846,2021-12-23
2824.5,2021-12-22
2753.85,2021-12-21
2715,2021-12-20
2724.3,2021-12-17
2667,2021-12-16
2603,2021-12-15
2628.5,2021-12-14
2652.97,2021-12-13
2606.5,2021-12-10
2626.5,2021-12-09
2633.35,2021-12-08
2628.65,2021-12-07
2592.85,2021-12-06
2621.45,2021-12-03
2607.65,2021-12-02
2664.65,2021-12-01
2626.65,2021-11-30
2629.8,2021-11-29
2624.93,2021-11-26
2706.74,2021-11-25
2703.85,2021-11-24
2672.85,2021-11-23
2684.88,2021-11-22
2675.9,2021-11-19
2600.29,2021-11-18
2611.43,2021-11-17
2570.98,2021-11-16
2656.85,2021-11-15
2700,2021-11-12
2659.43,2021-11-11
2581.02,2021-11-10
2561.33,2021-11-09
2605,2021-11-08
2554.48,2021-11-05
2564.39,2021-11-04
2659.75,2021-11-03
2692.35,2021-11-02
2714.5,2021-11-01
2716.25,2021-10-29
2762.44,2021-10-28
2684.23,2021-10-27
2834.37,2021-10-26
2875.5,2021-10-25
2868.15,2021-10-22
2910.5,2021-10-21
3069.35,2021-10-20
3108.63,2021-10-19
3167.7,2021-10-18
3164.5,2021-10-15
3122.15,2021-10-14
3063.74,2021-10-13
3063.89,2021-10-12
3049.76,2021-10-11
2957.85,2021-10-08
2945.65,2021-10-07
2897.3,2021-10-06
2921,2021-10-05
2916.15,2021-10-04
2849.65,2021-10-01
2858.5,2021-09-30
2912.85,2021-09-29
2944.5,2021-09-28
2891.1,2021-09-27
2926.85,2021-09-24
2949.5,2021-09-23
2938.35,2021-09-22
2846,2021-09-21
2863,2021-09-20
2886.15,2021-09-17
2882.05,2021-09-16
2893,2021-09-15
2830.85,2021-09-14
2891.59,2021-09-13
2916.07,2021-09-10
2839.5,2021-09-09
2795.89,2021-09-08
2756.85,2021-09-07
2764.51,2021-09-06
2727.15,2021-09-03
2701.85,2021-09-02
2689.85,2021-09-01
2709.57,2021-08-31
2649.5,2021-08-27
2619.5,2021-08-26
2617.3,2021-08-25
2614.85,2021-08-24
2602.15,2021-08-23
2565.87,2021-08-20
2538.95,2021-08-19
2555.15,2021-08-18
2599.5,2021-08-17
2605.22,2021-08-16
2599.85,2021-08-13
2582.35,2021-08-12
2585.7,2021-08-11
2574.7,2021-08-10
2547.45,2021-08-09
2598.5,2021-08-06
2587.8,2021-08-05
2563.01,2021-08-04
2586,2021-08-03
2615.85,2021-08-02
2590.15,2021-07-30
2582.74,2021-07-29
2526.28,2021-07-28
2500.5,2021-07-27
2522.15,2021-07-26
2496.74,2021-07-23
2462.15,2021-07-22
2456,2021-07-21
2455.09,2021-07-20
2432.85,2021-07-19
