date, value
8/22/72,0.2673
8/23/72,0.2703
8/24/72,0.2706
8/25/72,0.2722
8/28/72,0.2704
8/29/72,0.2705
8/30/72,0.2718
8/31/72,0.27
9/1/72,0.2752
9/5/72,0.2737
9/6/72,0.2728
9/7/72,0.2716
9/8/72,0.266
9/11/72,0.2693
9/12/72,0.2685
9/13/72,0.2672
9/14/72,0.2691
9/15/72,0.2674
9/18/72,0.27
9/19/72,0.2721
9/20/72,0.2717
9/21/72,0.276
9/22/72,0.2705
9/25/72,0.272
9/26/72,0.273
9/27/72,0.2715
9/28/72,0.2721
9/29/72,0.2737
10/2/72,0.2735
10/3/72,0.2702
10/4/72,0.2684
10/5/72,0.2683
10/6/72,0.269
10/10/72,0.2702
10/11/72,0.2713
10/12/72,0.2705
10/13/72,0.2705
10/16/72,0.272
10/17/72,0.2703
10/18/72,0.2731
10/19/72,0.2775
10/20/72,0.2732
10/23/72,0.2766
10/24/72,0.2824
10/25/72,0.2838
10/26/72,0.2863
10/27/72,0.2872
10/30/72,0.2931
10/31/72,0.298
11/1/72,0.2944
11/2/72,0.2918
11/3/72,0.2922
11/6/72,0.2925
11/8/72,0.3015
11/9/72,0.3045
11/10/72,0.3035
11/13/72,0.3138
11/14/72,0.315
11/15/72,0.3251
11/16/72,0.3181
11/17/72,0.3198
11/20/72,0.331
11/21/72,0.3445
11/22/72,0.335
11/24/72,0.3425
11/27/72,0.345
11/28/72,0.3317
11/29/72,0.3276
11/30/72,0.3229
12/1/72,0.3185
12/4/72,0.3225
12/5/72,0.327
12/6/72,0.328
12/7/72,0.3315
12/8/72,0.336
12/11/72,0.3541
12/12/72,0.338
12/13/72,0.3475
12/14/72,0.3453
12/15/72,0.3413
12/18/72,0.3328
12/19/72,0.3362
12/20/72,0.34
12/21/72,0.3452
12/22/72,0.346
12/26/72,0.348
12/27/72,0.3474
12/29/72,0.355
1/2/73,0.361
1/3/73,0.364
1/4/73,0.364
1/5/73,0.372
1/8/73,0.3795
1/9/73,0.3798
1/10/73,0.38
1/11/73,0.3744
1/12/73,0.3732
1/15/73,0.362
1/16/73,0.3625
1/17/73,0.3652
1/18/73,0.3746
1/19/73,0.3765
1/22/73,0.3866
1/23/73,0.3896
1/24/73,0.387
1/26/73,0.3921
1/29/73,0.3855
1/30/73,0.3822
1/31/73,0.3802
2/1/73,0.3793
2/2/73,0.3795
2/5/73,0.3785
2/6/73,0.3724
2/7/73,0.3723
2/8/73,0.3804
2/9/73,0.381
2/12/73,0.3854
2/13/73,0.3905
2/14/73,0.3941
2/15/73,0.3864
2/16/73,0.387
2/20/73,0.3865
2/21/73,0.3855
2/22/73,0.388
2/23/73,0.388
2/26/73,0.3909
2/27/73,0.3953
2/28/73,0.3927
3/1/73,0.3915
3/2/73,0.3882
3/5/73,0.3909
3/6/73,0.3982
3/7/73,0.3982
3/8/73,0.3992
3/9/73,0.401
3/12/73,0.4072
3/13/73,0.3995
3/14/73,0.4062
3/15/73,0.4065
3/16/73,0.4082
3/19/73,0.4112
3/20/73,0.4172
