date, value
1/2/69,0.0833
1/3/69,0.0833
1/6/69,0.084
1/7/69,0.0846
1/8/69,0.086
1/9/69,0.086
1/10/69,0.0845
1/13/69,0.0834
1/14/69,0.0845
1/15/69,0.084
1/16/69,0.0836
1/17/69,0.0833
1/20/69,0.0835
1/21/69,0.0824
1/22/69,0.0823
1/23/69,0.0828
1/24/69,0.0834
1/27/69,0.0839
1/28/69,0.0836
1/29/69,0.0832
1/30/69,0.0843
1/31/69,0.0847
2/3/69,0.0848
2/4/69,0.0854
2/5/69,0.0847
2/6/69,0.0851
2/7/69,0.0851
2/10/69,0.0854
2/11/69,0.0848
2/12/69,0.0839
2/13/69,0.0853
2/14/69,0.0846
2/17/69,0.0861
2/18/69,0.0875
2/19/69,0.088
2/20/69,0.0879
2/24/69,0.089
2/25/69,0.0878
2/26/69,0.087
2/27/69,0.0855
2/28/69,0.0867
3/3/69,0.0852
3/4/69,0.0851
3/5/69,0.0845
3/6/69,0.0847
3/7/69,0.0858
3/10/69,0.0856
3/11/69,0.0861
3/12/69,0.0847
3/13/69,0.0843
3/14/69,0.0849
3/17/69,0.0833
3/18/69,0.0825
3/19/69,0.0831
3/20/69,0.083
3/21/69,0.0827
3/24/69,0.0828
3/25/69,0.0836
3/26/69,0.0834
3/27/69,0.0836
3/28/69,0.0835
4/1/69,0.0823
4/2/69,0.083
4/3/69,0.0832
4/7/69,0.0831
4/8/69,0.0832
4/9/69,0.0835
4/10/69,0.0846
4/11/69,0.0843
4/14/69,0.0837
4/15/69,0.0842
4/16/69,0.0837
4/17/69,0.0832
4/18/69,0.0839
4/21/69,0.0839
4/22/69,0.0844
4/23/69,0.0846
4/24/69,0.0846
4/25/69,0.0851
4/28/69,0.0857
4/29/69,0.0851
4/30/69,0.0843
5/1/69,0.0847
5/2/69,0.085
5/5/69,0.0849
5/6/69,0.0856
5/7/69,0.0851
5/8/69,0.0848
5/9/69,0.0845
5/12/69,0.0837
5/13/69,0.0838
5/14/69,0.0839
5/15/69,0.0834
5/16/69,0.0827
5/19/69,0.0817
5/20/69,0.0821
5/21/69,0.0798
5/22/69,0.0788
5/23/69,0.0779
5/26/69,0.078
5/27/69,0.0779
5/28/69,0.0775
5/29/69,0.0777
6/2/69,0.0762
6/3/69,0.0761
6/4/69,0.0763
6/5/69,0.0768
6/6/69,0.0769
6/9/69,0.076
6/10/69,0.0752
6/11/69,0.074
6/12/69,0.0748
6/13/69,0.0743
6/16/69,0.0747
6/17/69,0.0752
6/18/69,0.0757
6/19/69,0.0763
6/20/69,0.0761
6/23/69,0.0761
6/24/69,0.0759
6/25/69,0.0763
6/26/69,0.0761
6/27/69,0.0765
6/30/69,0.0774
7/1/69,0.078
7/2/69,0.0784
7/3/69,0.0782
7/7/69,0.078
7/8/69,0.0778
7/9/69,0.0779
7/10/69,0.0763
7/11/69,0.0763
7/14/69,0.0759
7/15/69,0.0756
7/16/69,0.0767
7/17/69,0.0778
7/18/69,0.078
7/22/69,0.0782
7/23/69,0.0781
7/24/69,0.0774
7/25/69,0.078
7/28/69,0.0781
7/29/69,0.0776
7/30/69,0.0774
7/31/69,0.0786
8/1/69,0.078
8/4/69,0.0786
8/5/69,0.0784
8/6/69,0.0784
8/7/69,0.0796
8/8/69,0.0786
8/11/69,0.0792
8/12/69,0.0804
8/13/69,0.0804
8/14/69,0.0828
8/15/69,0.082
8/18/69,0.083
8/19/69,0.0821
8/20/69,0.082
8/21/69,0.0845
8/22/69,0.0835
8/25/69,0.0822
8/26/69,0.0817
8/27/69,0.0812
8/28/69,0.0801
8/29/69,0.0784
9/2/69,0.0775
9/3/69,0.0768
9/4/69,0.0761
9/5/69,0.0768
9/8/69,0.0766
9/9/69,0.0766
9/10/69,0.0787
9/11/69,0.0804
9/12/69,0.0812
9/15/69,0.0832
9/16/69,0.0853
9/17/69,0.0843
9/18/69,0.0842
9/19/69,0.0876
9/22/69,0.0905
9/23/69,0.0875
9/24/69,0.0901
9/25/69,0.0898
9/26/69,0.0871
9/29/69,0.0855
9/30/69,0.0825
10/1/69,0.0802
10/2/69,0.0819
10/3/69,0.086
10/6/69,0.0871
10/7/69,0.0859
10/8/69,0.0878
10/9/69,0.0888
10/10/69,0.0868
10/13/69,0.0883
10/14/69,0.088
10/15/69,0.0879
10/16/69,0.0873
10/17/69,0.0881
10/20/69,0.0918
10/21/69,0.0913
10/22/69,0.09
10/23/69,0.0913
10/24/69,0.0929
10/27/69,0.0927
10/28/69,0.0934
10/29/69,0.0964
10/30/69,0.0957
10/31/69,0.0975
11/3/69,0.0986
11/4/69,0.0975
11/5/69,0.1002
11/6/69,0.1005
11/7/69,0.1029
11/10/69,0.1055
11/11/69,0.1043
11/12/69,0.1073
11/13/69,0.104
11/14/69,0.1048
11/17/69,0.103
11/18/69,0.0985
11/19/69,0.0962
11/20/69,0.0979
11/21/69,0.0965
11/24/69,0.0894
11/25/69,0.0889
11/26/69,0.0891
11/28/69,0.0875
12/1/69,0.0862
12/2/69,0.0886
12/3/69,0.0917
12/4/69,0.0907
12/5/69,0.0913
12/8/69,0.0919
12/9/69,0.0906
12/10/69,0.087
12/11/69,0.0877
12/12/69,0.0886
12/15/69,0.089
12/16/69,0.0895
12/17/69,0.0908
12/18/69,0.0888
12/19/69,0.0908
12/22/69,0.0897
12/23/69,0.0887
12/24/69,0.0885
12/29/69,0.0897
12/30/69,0.0882
12/31/69,0.088
1/5/70,0.0867
1/6/70,0.0884
1/7/70,0.0918
1/8/70,0.0924
1/9/70,0.0925
1/12/70,0.0946
1/13/70,0.093
1/14/70,0.0914
1/15/70,0.0927
1/16/70,0.0917
1/19/70,0.0926
1/20/70,0.0909
1/21/70,0.0928
1/22/70,0.0932
1/23/70,0.0952
1/26/70,0.0945
1/27/70,0.0935
1/28/70,0.0926
1/29/70,0.0944
1/30/70,0.0952
2/2/70,0.0963
2/3/70,0.098
2/4/70,0.0974
2/5/70,0.1015
2/6/70,0.102
2/9/70,0.1027
2/10/70,0.1049
2/11/70,0.1084
2/12/70,0.1086
2/13/70,0.1096
2/16/70,0.1116
2/17/70,0.1125
2/18/70,0.113
2/19/70,0.1137
2/20/70,0.1153
2/24/70,0.1175
2/25/70,0.1122
2/26/70,0.1073
2/27/70,0.1076
3/2/70,0.11
3/3/70,0.11
3/4/70,0.1065
3/5/70,0.1084
3/6/70,0.1058
3/9/70,0.0999
3/10/70,0.0975
3/11/70,0.1006
3/12/70,0.1027
3/13/70,0.1032
3/16/70,0.101
3/17/70,0.1035
3/18/70,0.1077
3/19/70,0.1039
3/20/70,0.1051
3/23/70,0.1047
3/24/70,0.1021
3/25/70,0.105
3/26/70,0.1033
3/30/70,0.1048
3/31/70,0.1051
4/1/70,0.1082
4/2/70,0.1065
4/3/70,0.1093
4/6/70,0.1122
4/7/70,0.1106
4/8/70,0.1138
4/9/70,0.1143
4/10/70,0.119
4/13/70,0.1246
4/14/70,0.1223
4/15/70,0.1182
4/16/70,0.126
4/17/70,0.1244
4/20/70,0.1225
4/21/70,0.123
4/22/70,0.1186
4/23/70,0.1208
4/24/70,0.12
4/27/70,0.1136
4/28/70,0.1127
4/29/70,0.1109
4/30/70,0.114
5/1/70,0.1125
5/4/70,0.1113
5/5/70,0.1107
5/6/70,0.1069
5/7/70,0.1085
5/8/70,0.1084
5/11/70,0.1083
5/12/70,0.1067
5/13/70,0.1033
5/14/70,0.1045
5/15/70,0.1074
5/18/70,0.1051
5/19/70,0.1056
5/20/70,0.108
5/21/70,0.1125
5/22/70,0.114
5/25/70,0.1127
5/26/70,0.1113
5/27/70,0.1131
5/28/70,0.1114
6/1/70,0.1087
6/2/70,0.1065
6/3/70,0.1066
6/4/70,0.1084
6/5/70,0.1079
6/8/70,0.1111
6/9/70,0.1097
6/10/70,0.112
6/11/70,0.1106
6/12/70,0.1122
6/15/70,0.1122
6/16/70,0.1095
6/17/70,0.1108
6/18/70,0.109
6/19/70,0.1106
6/22/70,0.109
6/23/70,0.11
6/24/70,0.1058
6/25/70,0.1054
6/26/70,0.103
6/29/70,0.1042
6/30/70,0.1039
7/1/70,0.1048
7/2/70,0.1046
7/6/70,0.1021
7/7/70,0.1025
7/8/70,0.1059
7/9/70,0.1042
7/10/70,0.1043
7/13/70,0.1072
7/14/70,0.1059
7/15/70,0.1062
7/16/70,0.1079
7/17/70,0.1094
7/20/70,0.1136
7/21/70,0.1144
7/22/70,0.1147
7/23/70,0.1149
7/24/70,0.115
7/27/70,0.1191
7/28/70,0.1186
7/29/70,0.1171
7/30/70,0.115
7/31/70,0.1131
8/3/70,0.1139
8/4/70,0.1127
8/5/70,0.112
8/6/70,0.1098
8/7/70,0.1097
8/10/70,0.1058
8/11/70,0.1069
8/12/70,0.109
8/13/70,0.1073
8/14/70,0.1074
8/17/70,0.112
8/18/70,0.1081
8/19/70,0.1082
8/20/70,0.1064
8/21/70,0.1062
8/24/70,0.1087
8/25/70,0.1063
8/26/70,0.1054
8/27/70,0.1048
8/28/70,0.1056
8/31/70,0.1042
9/1/70,0.1023
9/2/70,0.103
9/3/70,0.1033
9/4/70,0.1063
9/8/70,0.1077
9/9/70,0.1069
9/10/70,0.106
9/11/70,0.1058
9/14/70,0.1074
9/15/70,0.1109
9/16/70,0.1119
9/17/70,0.1097
9/18/70,0.1124
9/21/70,0.1145
9/22/70,0.1175
9/23/70,0.1195
9/24/70,0.1214
9/25/70,0.1216
9/28/70,0.1182
9/29/70,0.114
9/30/70,0.1149
10/1/70,0.1134
10/2/70,0.112
10/5/70,0.117
10/6/70,0.1164
10/7/70,0.1193
10/8/70,0.1185
10/9/70,0.1204
10/12/70,0.125
10/13/70,0.1242
10/14/70,0.1237
10/15/70,0.1227
10/16/70,0.1207
10/19/70,0.1227
10/20/70,0.1274
10/21/70,0.1283
