price,date
0.0829,1/4/1993
0.0809,1/5/1993
0.0817,1/6/1993
0.0816,1/7/1993
0.086,1/8/1993
0.0864,1/11/1993
0.0852,1/12/1993
0.0846,1/13/1993
0.0859,1/14/1993
0.0857,1/15/1993
0.0841,1/18/1993
0.0845,1/19/1993
0.0854,1/20/1993
0.085,1/21/1993
0.0845,1/22/1993
0.0847,1/25/1993
0.0862,1/26/1993
0.0861,1/27/1993
0.0847,1/28/1993
0.083,1/29/1993
0.0825,2/1/1993
0.0804,2/2/1993
0.0814,2/3/1993
0.0822,2/4/1993
0.081,2/5/1993
0.0805,2/8/1993
0.0815,2/9/1993
0.0857,2/10/1993
0.0847,2/11/1993
0.0848,2/12/1993
0.0896,2/16/1993
0.0933,2/17/1993
0.0905,2/18/1993
0.09,2/19/1993
0.0934,2/22/1993
0.0938,2/23/1993
0.0961,2/24/1993
0.0969,2/25/1993
0.0983,2/26/1993
0.1012,3/1/1993
0.1012,3/2/1993
0.1018,3/3/1993
0.102,3/4/1993
0.1009,3/5/1993
0.1001,3/8/1993
0.0988,3/9/1993
0.1015,3/10/1993
0.1021,3/11/1993
0.1055,3/12/1993
0.115,3/15/1993
0.11,3/16/1993
0.1111,3/17/1993
0.1145,3/18/1993
0.1218,3/19/1993
0.1222,3/22/1993
0.1178,3/23/1993
0.1168,3/24/1993
0.1172,3/25/1993
0.1185,3/26/1993
0.1203,3/29/1993
0.1212,3/30/1993
0.1189,3/31/1993
0.1203,4/1/1993
0.1224,4/2/1993
0.1206,4/5/1993
0.1147,4/6/1993
0.1089,4/7/1993
0.1103,4/8/1993
0.1073,4/12/1993
0.1085,4/13/1993
0.104,4/14/1993
0.1041,4/15/1993
0.107,4/16/1993
0.1089,4/19/1993
0.1095,4/20/1993
0.1118,4/21/1993
0.1176,4/22/1993
0.12,4/23/1993
0.1245,4/26/1993
0.1272,4/27/1993
0.1252,4/28/1993
0.127,4/29/1993
0.1272,4/30/1993
0.123,5/3/1993
0.1214,5/4/1993
0.1226,5/5/1993
0.1229,5/6/1993
0.1228,5/7/1993
0.1217,5/10/1993
0.1247,5/11/1993
0.125,5/12/1993
0.1288,5/13/1993
0.1319,5/14/1993
0.1297,5/17/1993
0.1235,5/18/1993
0.1196,5/19/1993
0.1206,5/20/1993
0.1236,5/21/1993
0.1161,5/24/1993
0.1178,5/25/1993
0.1112,5/26/1993
0.1057,5/27/1993
0.1076,5/28/1993
0.1075,6/1/1993
0.1067,6/2/1993
0.1046,6/3/1993
0.1096,6/4/1993
0.1095,6/7/1993
0.1113,6/8/1993
0.1091,6/9/1993
0.1112,6/10/1993
0.1106,6/11/1993
0.109,6/14/1993
0.108,6/15/1993
0.1052,6/16/1993
0.1049,6/17/1993
0.1005,6/18/1993
0.0967,6/21/1993
0.0981,6/22/1993
0.0999,6/23/1993
0.1005,6/24/1993
0.1003,6/25/1993
0.1017,6/28/1993
0.0977,6/29/1993
0.1035,6/30/1993
0.1034,7/1/1993
0.1064,7/2/1993
0.1075,7/6/1993
0.1066,7/7/1993
0.1055,7/8/1993
0.1025,7/9/1993
0.0974,7/12/1993
0.097,7/13/1993
0.0986,7/14/1993
0.0959,7/15/1993
0.098,7/16/1993
0.0998,7/19/1993
0.0979,7/20/1993
0.0967,7/21/1993
0.0961,7/22/1993
0.096,7/23/1993
0.0915,7/26/1993
0.0913,7/27/1993
0.0921,7/28/1993
0.0929,7/29/1993
0.0936,7/30/1993
0.0956,8/2/1993
0.1013,8/3/1993
0.1005,8/4/1993
0.1001,8/5/1993
0.1004,8/6/1993
0.0963,8/9/1993
0.0984,8/10/1993
0.0969,8/11/1993
0.0918,8/12/1993
0.0937,8/13/1993
0.092,8/16/1993
0.0939,8/17/1993
0.0936,8/18/1993
0.0939,8/19/1993
0.0912,8/20/1993
0.0928,8/23/1993
0.0936,8/24/1993
0.0917,8/25/1993
0.0932,8/26/1993
0.0915,8/27/1993
0.0934,8/30/1993
0.0907,8/31/1993
0.0916,9/1/1993
0.0909,9/2/1993
0.0911,9/3/1993
0.092,9/7/1993
0.0909,9/8/1993
0.0911,9/9/1993
0.0939,9/10/1993
0.0963,9/13/1993
0.094,9/14/1993
0.0975,9/15/1993
0.0965,9/16/1993
0.0998,9/17/1993
0.0979,9/20/1993
0.0966,9/21/1993
0.0973,9/22/1993
0.0974,9/23/1993
0.0973,9/24/1993
0.0962,9/27/1993
0.0981,9/28/1993
0.0991,9/29/1993
0.1026,9/30/1993
0.1083,10/1/1993
0.1084,10/4/1993
0.1071,10/5/1993
