date, price
1993-01-04,2.1575
1993-01-05,2.1675
1993-01-06,2.1775
1993-01-07,2.185
1993-01-08,2.185
1993-01-11,2.185
1993-01-12,2.2125
1993-01-13,2.185
1993-01-14,2.175
1993-01-15,2.17
1993-01-18,2.18
1993-01-19,2.1975
1993-01-20,2.185
1993-01-21,2.185
1993-01-22,2.185
1993-01-25,2.1725
1993-01-26,2.165
1993-01-27,2.1675
1993-01-28,2.15
1993-01-29,2.145
1993-02-01,2.135
1993-02-02,2.1275
1993-02-03,2.13
1993-02-04,2.125
1993-02-05,2.12
1993-02-08,2.1175
1993-02-09,2.135
1993-02-10,2.135
1993-02-11,2.125
1993-02-12,2.1225
1993-02-16,2.12
1993-02-17,2.125
1993-02-18,2.1275
1993-02-19,2.1275
1993-02-22,2.1175
1993-02-23,2.1335
1993-02-24,2.1495
1993-02-25,2.152
1993-02-26,2.1765
1993-03-01,2.22
1993-03-02,2.225
1993-03-03,2.215
1993-03-04,2.2225
1993-03-05,2.2125
1993-03-08,2.21
1993-03-09,2.2075
1993-03-10,2.2225
1993-03-11,2.21
1993-03-12,2.195
1993-03-15,2.2025
1993-03-16,2.21
1993-03-17,2.2325
1993-03-18,2.25
1993-03-19,2.2575
1993-03-22,2.2475
1993-03-23,2.275
1993-03-24,2.2875
1993-03-25,2.2875
1993-03-26,2.2875
1993-03-29,2.3025
1993-03-30,2.3025
1993-03-31,2.3025
1993-04-01,2.3
1993-04-02,2.3075
1993-04-05,2.2975
1993-04-06,2.2925
1993-04-07,2.315
1993-04-08,2.3175
1993-04-12,2.33
1993-04-13,2.33
1993-04-14,2.31
1993-04-15,2.3175
1993-04-16,2.2775
1993-04-19,2.295
1993-04-20,2.3125
1993-04-21,2.28
1993-04-22,2.2625
1993-04-23,2.2425
1993-04-26,2.255
1993-04-27,2.24
1993-04-28,2.2525
1993-04-29,2.2695
1993-04-30,2.316
1993-05-03,2.3325
1993-05-04,2.31
1993-05-05,2.3025
1993-05-06,2.315
1993-05-07,2.3025
1993-05-10,2.275
1993-05-11,2.29
1993-05-12,2.3275
1993-05-13,2.2975
1993-05-14,2.2875
1993-05-17,2.2725
1993-05-18,2.2925
1993-05-19,2.2625
1993-05-20,2.2825
1993-05-21,2.2825
1993-05-24,2.2725
1993-05-25,2.2475
1993-05-26,2.26
1993-05-27,2.245
1993-05-28,2.245
1993-06-01,2.195
1993-06-02,2.1925
1993-06-03,2.19
1993-06-04,2.1925
1993-06-07,2.22
1993-06-08,2.2025
1993-06-09,2.1925
1993-06-10,2.175
1993-06-11,2.15
1993-06-14,2.145
1993-06-15,2.1275
1993-06-16,2.135
1993-06-17,2.15
1993-06-18,2.1625
1993-06-21,2.18
1993-06-22,2.185
1993-06-23,2.1975
1993-06-24,2.2
1993-06-25,2.2025
1993-06-28,2.214
1993-06-29,2.218
1993-06-30,2.2775
1993-07-01,2.3625
1993-07-02,2.385
1993-07-06,2.4925
1993-07-07,2.4775
1993-07-08,2.4275
1993-07-09,2.415
1993-07-12,2.36
1993-07-13,2.3525
1993-07-14,2.3725
1993-07-15,2.3525
1993-07-16,2.4125
1993-07-19,2.43
1993-07-20,2.4175
1993-07-21,2.405
1993-07-22,2.425
1993-07-23,2.44
1993-07-26,2.435
1993-07-27,2.445
1993-07-28,2.4125
1993-07-29,2.39
1993-07-30,2.3575
1993-08-02,2.4
1993-08-03,2.4125
1993-08-04,2.41
1993-08-05,2.3925
1993-08-06,2.41
1993-08-09,2.365
1993-08-10,2.3875
1993-08-11,2.4075
1993-08-12,2.3775
1993-08-13,2.3875
1993-08-16,2.365
1993-08-17,2.38
1993-08-18,2.365
1993-08-19,2.3775
1993-08-20,2.3675
1993-08-23,2.385
1993-08-24,2.3725
1993-08-25,2.3675
1993-08-26,2.342
1993-08-27,2.369
1993-08-30,2.37
1993-08-31,2.3595
1993-09-02,2.3525
1993-09-03,2.3675
1993-09-07,2.33
1993-09-08,2.345
1993-09-09,2.3575
1993-09-10,2.35
1993-09-13,2.3875
1993-09-14,2.3675
1993-09-15,2.3875
1993-09-16,2.385
1993-09-17,2.4375
1993-09-20,2.4425
1993-09-21,2.4275
1993-09-22,2.46
1993-09-23,2.4875
1993-09-24,2.4875
1993-09-27,2.4625
1993-09-28,2.4325
1993-09-29,2.4075
1993-09-30,2.4475
1993-10-01,2.4275
1993-10-04,2.37
1993-10-05,2.365
1993-10-06,2.3825
1993-10-07,2.415
1993-10-08,2.4175
1993-10-11,2.445
1993-10-12,2.4425
1993-10-13,2.4925
1993-10-14,2.49
1993-10-15,2.4875
1993-10-18,2.53
1993-10-19,2.54
1993-10-20,2.525
1993-10-21,2.5575
1993-10-22,2.535
1993-10-25,2.565
1993-10-26,2.56
1993-10-27,2.5475
1993-10-28,2.5325
1993-10-29,2.5775
1993-11-01,2.6075
1993-11-02,2.6275
1993-11-03,2.6175
1993-11-04,2.645
1993-11-05,2.6375
1993-11-08,2.6075
1993-11-09,2.615
1993-11-10,2.735
1993-11-11,2.7775
1993-11-12,2.7775
1993-11-15,2.79
1993-11-16,2.79
1993-11-17,2.835
1993-11-18,2.8275
1993-11-19,2.8175
1993-11-22,2.7825
1993-11-23,2.7775
1993-11-24,2.8045
1993-11-26,2.8555
1993-11-29,2.8645
1993-11-30,2.843
1993-12-01,2.8575
1993-12-02,2.91
1993-12-03,2.9125
1993-12-06,2.915
1993-12-07,2.9475
1993-12-08,2.965
1993-12-09,2.9525
1993-12-10,2.935
1993-12-13,2.9125
1993-12-14,2.935
1993-12-15,2.935
1993-12-16,2.945
1993-12-17,2.96
1993-12-20,2.9825
1993-12-21,2.9875
1993-12-22,2.9975
1993-12-23,2.99
1993-12-27,3.0175
1993-12-28,3.0275
1993-12-29,3.0375
1993-12-30,3.06
1994-01-03,3.0675
1994-01-04,3.0625
1994-01-05,3.055
1994-01-06,3.085
1994-01-07,3.09
1994-01-10,3.0375
1994-01-11,3.06
1994-01-12,3.0475
1994-01-13,3.1
1994-01-14,3.1
