date,price
1993-01-04,0.5842
1993-01-05,0.5858
1993-01-06,0.5954
1993-01-07,0.6108
1993-01-08,0.6079
1993-01-11,0.608
1993-01-12,0.6078
1993-01-13,0.6093
1993-01-14,0.6171
1993-01-15,0.6139
1993-01-18,0.6101
1993-01-19,0.6155
1993-01-20,0.624
1993-01-21,0.6283
1993-01-22,0.629
1993-01-25,0.618
1993-01-26,0.598
1993-01-27,0.5794
1993-01-28,0.5876
1993-01-29,0.5934
1993-02-01,0.592
1993-02-02,0.5978
1993-02-03,0.5998
1993-02-04,0.6176
1993-02-05,0.6141
1993-02-08,0.6107
1993-02-09,0.6025
1993-02-10,0.6225
1993-02-11,0.6158
1993-02-12,0.6148
1993-02-16,0.6263
1993-02-17,0.6255
1993-02-18,0.6387
1993-02-19,0.638
1993-02-22,0.6321
1993-02-23,0.6369
1993-02-24,0.634
1993-02-25,0.6309
1993-02-26,0.6337
1993-03-01,0.6283
1993-03-02,0.6218
1993-03-03,0.629
1993-03-04,0.6258
1993-03-05,0.6262
1993-03-08,0.6223
1993-03-09,0.6286
1993-03-10,0.6479
1993-03-11,0.642
1993-03-12,0.6475
1993-03-15,0.6465
1993-03-16,0.6355
1993-03-17,0.616
1993-03-18,0.6138
1993-03-19,0.621
1993-03-22,0.6246
1993-03-23,0.611
1993-03-24,0.6121
1993-03-25,0.6082
1993-03-26,0.6105
1993-03-29,0.6142
1993-03-30,0.6115
1993-03-31,0.6103
1993-04-01,0.6046
1993-04-02,0.6042
1993-04-05,0.6242
1993-04-06,0.6216
1993-04-07,0.6154
1993-04-08,0.6152
1993-04-12,0.6185
1993-04-13,0.6116
1993-04-14,0.6285
1993-04-15,0.6264
1993-04-16,0.634
1993-04-19,0.6343
1993-04-20,0.6267
1993-04-21,0.6235
1993-04-22,0.6165
1993-04-23,0.6084
1993-04-26,0.6095
1993-04-27,0.6055
1993-04-28,0.5928
1993-04-29,0.6053
1993-04-30,0.6114
1993-05-03,0.601
1993-05-04,0.5984
1993-05-05,0.6123
1993-05-06,0.6258
1993-05-07,0.6224
1993-05-10,0.622
1993-05-11,0.6164
1993-05-12,0.6152
1993-05-13,0.6194
1993-05-14,0.6215
1993-05-17,0.6067
1993-05-18,0.6173
1993-05-19,0.6105
1993-05-20,0.6107
1993-05-21,0.6096
1993-05-24,0.6134
1993-05-25,0.6039
1993-05-26,0.6044
1993-05-27,0.606
1993-05-28,0.6036
1993-06-01,0.6025
1993-06-02,0.609
1993-06-03,0.6087
1993-06-04,0.6033
1993-06-07,0.6071
1993-06-08,0.5949
1993-06-09,0.5865
1993-06-10,0.5877
1993-06-11,0.5847
1993-06-14,0.5912
1993-06-15,0.5935
1993-06-16,0.5897
1993-06-17,0.5897
1993-06-18,0.5831
1993-06-21,0.582
1993-06-22,0.5877
1993-06-23,0.5677
1993-06-24,0.5487
1993-06-25,0.5581
1993-06-28,0.5583
1993-06-29,0.5582
1993-06-30,0.5648
1993-07-01,0.561
1993-07-02,0.5625
1993-07-06,0.5747
1993-07-07,0.5725
1993-07-08,0.5735
1993-07-09,0.5922
1993-07-12,0.5997
1993-07-13,0.596
1993-07-14,0.5907
1993-07-15,0.5852
1993-07-16,0.59
1993-07-19,0.597
1993-07-20,0.6085
1993-07-21,0.616
1993-07-22,0.6105
1993-07-23,0.6105
1993-07-26,0.6017
1993-07-27,0.598
1993-07-28,0.6017
1993-07-29,0.6055
1993-07-30,0.5962
1993-08-02,0.5789
1993-08-03,0.5672
1993-08-04,0.5726
1993-08-05,0.563
1993-08-06,0.5595
1993-08-09,0.5623
1993-08-10,0.5663
1993-08-11,0.5563
1993-08-12,0.5392
1993-08-13,0.5484
1993-08-16,0.5482
1993-08-17,0.5456
1993-08-18,0.5527
1993-08-19,0.5513
1993-08-20,0.5503
1993-08-23,0.5548
1993-08-24,0.556
1993-08-25,0.5709
1993-08-26,0.5647
1993-08-27,0.5622
1993-08-30,0.549
1993-08-31,0.5531
1993-09-01,0.5445
1993-09-02,0.5577
1993-09-03,0.554
1993-09-07,0.5608
1993-09-08,0.5578
1993-09-09,0.5595
1993-09-10,0.5782
1993-09-13,0.5775
1993-09-14,0.5665
1993-09-15,0.5693
1993-09-16,0.57
1993-09-17,0.575
1993-09-20,0.569
1993-09-21,0.5715
1993-09-22,0.57
1993-09-23,0.5715
1993-09-24,0.577
1993-09-27,0.5854
1993-09-28,0.5782
1993-09-29,0.5766
1993-09-30,0.5833
1993-10-01,0.576
1993-10-04,0.5824
1993-10-05,0.5854
1993-10-06,0.588
1993-10-07,0.5868
1993-10-08,0.5985
1993-10-11,0.602
1993-10-12,0.5956
1993-10-13,0.5827
1993-10-14,0.5787
1993-10-15,0.5806
1993-10-18,0.574
1993-10-19,0.5717
1993-10-20,0.5713
1993-10-21,0.5774
1993-10-22,0.5755
1993-10-25,0.5723
1993-10-26,0.5736
1993-10-27,0.5764
1993-10-28,0.5722
1993-10-29,0.5727
1993-11-01,0.5717
1993-11-02,0.5755
1993-11-03,0.5725
1993-11-04,0.5625
1993-11-05,0.5647
1993-11-08,0.5613
1993-11-09,0.5635
1993-11-10,0.5767
1993-11-11,0.589
1993-11-12,0.5836
1993-11-15,0.5876
1993-11-16,0.586
1993-11-17,0.584
1993-11-18,0.5928
1993-11-19,0.6108
1993-11-22,0.6091
1993-11-23,0.6146
1993-11-24,0.6179
1993-11-29,0.6192
1993-11-30,0.6197
1993-12-01,0.6208
1993-12-02,0.624
1993-12-03,0.6376
1993-12-06,0.6326
1993-12-07,0.6485
1993-12-08,0.6416
1993-12-09,0.6412
1993-12-10,0.6339
1993-12-13,0.6323
1993-12-14,0.6395
1993-12-15,0.6505
1993-12-16,0.6468
1993-12-17,0.6549
1993-12-20,0.6547
1993-12-21,0.6554
1993-12-22,0.6611
1993-12-23,0.6648
1993-12-27,0.6688
1993-12-28,0.6684
1993-12-29,0.6775
1993-12-30,0.6788
1994-01-03,0.6776
1994-01-04,0.6688
1994-01-05,0.684
1994-01-06,0.6858
1994-01-07,0.6829
1994-01-10,0.676
1994-01-11,0.6911
1994-01-12,0.696
1994-01-13,0.6942
1994-01-14,0.6998
1994-01-17,0.7018
1994-01-18,0.7158
1994-01-19,0.7129
1994-01-20,0.723
1994-01-21,0.7248
1994-01-24,0.7306
1994-01-25,0.7378
1994-01-26,0.7289
1994-01-27,0.7386
1994-01-28,0.7586
1994-01-31,0.7786
1994-02-01,0.7734
1994-02-02,0.7565
1994-02-03,0.7629
1994-02-04,0.7723
1994-02-07,0.756
1994-02-08,0.7747
1994-02-09,0.7636
1994-02-10,0.7704
1994-02-11,0.7728
1994-02-14,0.7672
1994-02-15,0.7667
1994-02-16,0.7663
1994-02-17,0.7693
1994-02-18,0.7703
1994-02-22,0.7925
1994-02-23,0.7898
1994-02-24,0.7902
1994-02-25,0.7897
1994-02-28,0.7921
1994-03-01,0.7898
1994-03-02,0.7698
1994-03-03,0.7597
1994-03-04,0.7786
1994-03-07,0.7764
1994-03-08,0.7725
1994-03-09,0.777
1994-03-10,0.7767
1994-03-11,0.7685
1994-03-14,0.7597
1994-03-15,0.7677
1994-03-16,0.7693
1994-03-17,0.7617
1994-03-18,0.7576
1994-03-21,0.7543
1994-03-22,0.7599
1994-03-23,0.7767
1994-03-24,0.7725
1994-03-25,0.7707
1994-03-28,0.7664
1994-03-29,0.7737
1994-03-30,0.7805
1994-03-31,0.7821
1994-04-04,0.7703
1994-04-05,0.7533
1994-04-06,0.7625
1994-04-07,0.7665
1994-04-08,0.759
1994-04-11,0.7637
1994-04-12,0.7805
1994-04-13,0.7984
1994-04-14,0.8127
1994-04-15,0.8093
1994-04-18,0.8072
1994-04-19,0.8095
1994-04-20,0.8069
1994-04-21,0.8157
1994-04-22,0.8109
1994-04-25,0.8233
1994-04-26,0.8108
1994-04-28,0.8269
1994-04-29,0.8378
1994-05-02,0.8317
1994-05-03,0.8408
1994-05-04,0.8336
1994-05-05,0.8317
1994-05-06,0.8212
1994-05-09,0.8012
1994-05-10,0.8083
1994-05-11,0.8019
1994-05-12,0.7997
1994-05-13,0.8037
1994-05-16,0.7994
1994-05-17,0.8022
1994-05-18,0.8065
1994-05-19,0.8265
1994-05-20,0.838
1994-05-23,0.8381
1994-05-24,0.8368
1994-05-25,0.8374
