date, value
1993-01-04,5.68
1993-01-05,5.7025
1993-01-06,5.7425
1993-01-07,5.7925
1993-01-08,5.7925
1993-01-11,5.785
1993-01-12,5.8475
1993-01-13,5.84
1993-01-14,5.78
1993-01-15,5.815
1993-01-18,5.8425
1993-01-19,5.8625
1993-01-20,5.8375
1993-01-21,5.8325
1993-01-22,5.8125
1993-01-25,5.7625
1993-01-26,5.7625
1993-01-27,5.8125
1993-01-28,5.7275
1993-01-29,5.74
1993-02-01,5.7325
1993-02-02,5.72
1993-02-03,5.745
1993-02-04,5.7125
1993-02-05,5.655
1993-02-08,5.6475
1993-02-09,5.6825
1993-02-10,5.6875
1993-02-11,5.67
1993-02-12,5.705
1993-02-16,5.71
1993-02-17,5.7325
1993-02-18,5.7325
1993-02-19,5.7325
1993-02-22,5.7075
1993-02-23,5.7485
1993-02-24,5.7485
1993-02-25,5.7435
1993-02-26,5.7945
1993-03-01,5.8425
1993-03-02,5.8525
1993-03-03,5.83
1993-03-04,5.8475
1993-03-05,5.7875
1993-03-08,5.7625
1993-03-09,5.7725
1993-03-10,5.8325
1993-03-11,5.78
1993-03-12,5.7675
1993-03-15,5.805
1993-03-16,5.815
1993-03-17,5.8575
1993-03-18,5.8875
1993-03-19,5.885
1993-03-22,5.8525
1993-03-23,5.915
1993-03-24,5.9225
1993-03-25,5.8675
1993-03-26,5.875
1993-03-29,5.8775
1993-03-30,5.8675
1993-03-31,5.8825
1993-04-01,5.94
1993-04-02,5.965
1993-04-05,5.9375
1993-04-06,5.9025
1993-04-07,5.9725
1993-04-08,5.96
1993-04-12,5.9725
1993-04-13,5.9525
1993-04-14,5.9525
1993-04-15,5.905
1993-04-16,5.8675
1993-04-19,5.88
1993-04-20,5.905
1993-04-21,5.905
1993-04-22,5.92
1993-04-23,5.925
1993-04-26,5.95
1993-04-27,5.929
1993-04-28,5.906
1993-04-29,5.8935
1993-04-30,5.9075
1993-05-03,5.94
1993-05-04,5.9125
1993-05-05,5.955
1993-05-06,6.005
1993-05-07,6.06
1993-05-10,6.035
1993-05-11,6.045
1993-05-12,6.005
1993-05-13,5.985
1993-05-14,6.0225
1993-05-17,5.995
1993-05-18,6.05
1993-05-19,6.005
1993-05-20,6.035
1993-05-21,6.08
1993-05-24,6.06
1993-05-25,6.075
1993-05-26,6.1275
1993-05-27,6.09
1993-05-28,6.085
1993-06-01,5.89
1993-06-02,5.8875
1993-06-03,5.9
1993-06-04,5.8825
1993-06-07,5.92
1993-06-08,5.9025
1993-06-09,5.945
1993-06-10,5.915
1993-06-11,5.8875
1993-06-14,5.845
1993-06-15,5.8275
1993-06-16,5.86
1993-06-17,6.0125
1993-06-18,6.0525
1993-06-21,6.205
1993-06-22,6.155
1993-06-23,6.2475
1993-06-24,6.2575
1993-06-25,6.2015
1993-06-28,6.213
1993-06-29,6.346
1993-06-30,6.545
1993-07-01,6.5975
1993-07-02,6.655
1993-07-06,6.955
1993-07-07,7.0975
1993-07-08,7.035
1993-07-09,7.095
1993-07-12,6.99
1993-07-13,6.965
1993-07-14,7.0725
1993-07-15,7.08
1993-07-16,7.245
1993-07-19,7.345
1993-07-20,7.2825
1993-07-21,7.1925
1993-07-22,7.295
1993-07-23,7.275
1993-07-26,7.1075
1993-07-27,7.0285
1993-07-28,6.8925
